Income Source,Income Type,Year,income
LIC,Blocked,2011,70000
Providend Fund,Blocked,2014,175
Equity Dividend,Spendable,2014,40
LIC,Blocked,2015,70000
Providend Fund,Blocked,2015,989
Equity Dividend,Spendable,2015,1441
Providend Fund,Blocked,2016,2350
Equity Dividend,Spendable,2016,2302
Providend Fund,Blocked,2017,4609
Equity Dividend,Spendable,2017,3314
Providend Fund,Blocked,2018,7318
Equity Dividend,Spendable,2018,3666
LIC,Blocked,2019,70000
Providend Fund,Blocked,2019,2273
Equity Dividend,Spendable,2019,4069
Mutual Fund Dividend,Spendable,2019,277
Providend Fund,Blocked,2020,11322
SSY,Blocked,2020,7645
Bond,Spendable,2020,1655
Equity Dividend,Spendable,2020,5367
Mutual Fund Dividend,Spendable,2020,4930
Providend Fund,Blocked,2021,27084
SSY,Blocked,2021,19530
Bond,Spendable,2021,23243
Equity Dividend,Spendable,2021,10825
Mutual Fund Dividend,Spendable,2021,33233
Providend Fund,Blocked,2022,43980
SSY,Blocked,2022,32415
Bond,Spendable,2022,27002
Equity Dividend,Spendable,2022,19803
Mutual Fund Dividend,Spendable,2022,83598
LIC,Blocked,2023,70000
Providend Fund,Blocked,2023,71298
Bond,Spendable,2023,22766
Equity Dividend,Spendable,2023,20459
Mutual Fund Dividend,Spendable,2023,136715
Providend Fund,Blocked,2024,106444
Bond,Spendable,2024,24523
Equity Dividend,Spendable,2024,21741
Mutual Fund Dividend,Spendable,2024,170566
Providend Fund,Blocked,2025,148803
SSY,Blocked,2025,84720
Bond,Spendable,2025,15008
Equity Dividend,Spendable,2025,24606
Mutual Fund Dividend,Spendable,2025,104043
