Source File,Contract Ref,Exchange Contract No,Order Date,Order Time,Trade No,Trade Date,Trade Time,Settlement Date,Security,Action,Quantity,Total Amount (₹),Brokerage (₹),GST (₹),Net Amount (₹),Price/Share (₹),ISIN
TRX-Equity_03-07-2020_636253.PDF,ISEC/2020080/01411,1100000004543787,,10:45:00,26594681,28-04-2020,10:45,28-04-2020,ICICI BANK LTD.,Buy,20,7104.53,4.53,25.0,7075.0,353.75,INE090A01021
TRX-Equity_09-04-2021_602057.PDF,ISEC/2020080/01411,1100000004543787,,10:45:00,26594681,28-04-2020,10:45,28-04-2020,ICICI BANK LTD.,Buy,20,7104.53,4.53,25.0,7075.0,353.75,INE090A01021
TRX-Equity_05-10-2020_673368.PDF,ISEC/2020127/05470,1100000004962321,,11:10:00,28993433,06-07-2020,11:10,06-07-2020,HDFC BANK LTD,Buy,10,11071.46,10.96,60.5,11000.0,1100.0,INE040A01034
TRX-Equity_09-04-2021_602057.PDF,ISEC/2020127/05470,1100000004962321,30-04-2020,11:10:00,28993433,06-07-2020,11:10,06-07-2020,HDFC BANK LTD,Buy,10,11071.46,10.96,60.5,11000.0,1100.0,INE040A01034
TRX-Equity_06-01-2022_950009.PDF,ISEC/2021239/21727,1100000010291363,,10:55:00,27886544,20-12-2021,10:55,20-12-2021,INDIAN BANK,Buy,62,8514.83,8.4,46.53,8459.9,136.45,INE562A01011
TRX-Equity_06-01-2022_950009.PDF,ISEC/2021239/21727,1100000010291363,22-12-2021,10:55:00,27886543,20-12-2021,10:55,20-12-2021,INDIAN BANK,Buy,38,5218.77,5.15,28.52,5185.1,136.45,INE562A01011
TRX-Equity_06-01-2022_950009.PDF,ISEC/2021242/22071,1100000005997764,22-12-2021,11:00:00,26687130,23-12-2021,11:00,23-12-2021,HDFC BANK LTD,Buy,10,14594.15,14.4,79.75,14500.0,1450.0,INE040A01034
TRX-Equity_06-01-2022_950009.PDF,ISEC/2021242/22071,1100000005941769,27-12-2021,10:59:00,29431096,23-12-2021,10:59,23-12-2021,ICICI BANK LTD.,Buy,20,14694.8,14.5,80.3,14600.0,730.0,INE090A01021
TRX-Equity_04-01-2023_136835.PDF,ISEC/2022215/01580,1100000010316024,,11:13:00,27095542,15-11-2022,11:13,15-11-2022,HDFC BANK LTD,Buy,20,32257.72,12.94,70.78,32174.0,1608.7,INE040A01034
TRX-Equity_24-04-2023_882141.PDF,ISEC/2022215/01580,1100000010316024,,11:13:00,27095542,15-11-2022,11:13,15-11-2022,HDFC BANK LTD,Buy,20,32257.72,12.94,70.78,32174.0,1608.7,INE040A01034
