TradeDate,Exchange,Segment,Symbol,Side,Qty,Price,BrokeragePerUnit,NetRatePerUnit,NetTotal,DrCr,OrderNo,OrderTime,TradeNo,TradeTime,SourceFile,Page
,NSE,CASH,L & T LTD.,BUY,2,1581.45,12.5,1593.95,-3187.9,,2014102835424867,12:42:23,34319079,12:42:23,data/arun/equity/iifl/contract-notes/20141028_NN2014200.pdf,1
,NSE,CASH,L&T FINANCE,BUY,50,68.7,0.5,69.2,-3460.0,,2014102835443003,12:45:13,34373995,12:58:08,data/arun/equity/iifl/contract-notes/20141028_NN2014200.pdf,1
,NSE,CASH,TATASTEEL,BUY,10,452.7,2.5,455.2,-4552.0,,2014102835379892,12:35:36,34296647,12:35:36,data/arun/equity/iifl/contract-notes/20141028_NN2014200.pdf,2
,NSE,CASH,L&T FINANCE,BUY,50,68.0,0.5,68.5,-3425.0,,2014103036518438,14:13:20,34785344,14:13:20,data/arun/equity/iifl/contract-notes/20141030_NN2014202.pdf,1
,NSE,CASH,L & T LTD.,BUY,2,1613.3,12.5,1625.8,-3251.6,,2014111736614260,14:59:07,34817907,14:59:07,data/arun/equity/iifl/contract-notes/20141117_NN2014212.pdf,1
,NSE,CASH,TATASTEEL,BUY,20,360.0,1.8,361.8,-7236.0,,2015022437139732,14:05:47,34919254,14:20:40,data/arun/equity/iifl/contract-notes/20150224_NN2015037.pdf,1
,NSE,CASH,TATASTEEL,BUY,20,350.0,1.75,351.75,-7035.0,,2015030237880752,13:54:30,35485815,14:17:54,data/arun/equity/iifl/contract-notes/20150302_NN2015041.pdf,1
,NSE,CASH,L & T LTD.,BUY,3,1700.0,8.5,1708.5,-5125.5,,2015060136808045,14:08:48,34729632,14:10:24,data/arun/equity/iifl/contract-notes/20150601_NN2015101.pdf,1
,NSE,CASH,L & T LTD.,BUY,2,1700.0,8.5,1708.5,-3417.0,,2015060136808045,14:08:48,34729588,14:10:24,data/arun/equity/iifl/contract-notes/20150601_NN2015101.pdf,1
,NSE,CASH,TATASTEEL,BUY,30,298.0,1.49,299.49,-8984.7,,2015061228754099,14:59:38,26416992,15:02:43,data/arun/equity/iifl/contract-notes/20150612_NN2015110.pdf,1
,NSE,CASH,INFY,BUY,3,992.0,4.96,996.96,-2990.88,,2015061528177732,14:42:24,26114844,14:42:34,data/arun/equity/iifl/contract-notes/20150615 NN2015111_12_19_2025.pdf,1
,NSE,CASH,INFY,BUY,10,992.0,4.96,996.96,-9969.6,,2015061528184098,14:43:00,26116463,14:43:01,data/arun/equity/iifl/contract-notes/20150615 NN2015111_12_19_2025.pdf,1
,NSE,CASH,INFY,BUY,20,990.0,4.95,994.95,-19899.0,,2015061528199987,14:44:56,26228622,15:08:43,data/arun/equity/iifl/contract-notes/20150615 NN2015111_12_19_2025.pdf,1
,NSE,CASH,INFY,BUY,20,992.0,4.96,996.96,-19939.2,,2015061528219795,14:46:50,26146189,14:51:29,data/arun/equity/iifl/contract-notes/20150615 NN2015111_12_19_2025.pdf,1
,NSE,CASH,SAIL,BUY,10,60.7,0.5,61.2,-612.0,,2015061954589356,14:48:31,52097743,14:48:32,data/arun/equity/iifl/contract-notes/20150619 NN2015115_12_19_2025.pdf,1
,NSE,CASH,SAIL,BUY,40,60.7,0.5,61.2,-2448.0,,2015061954589356,14:48:31,52097746,14:48:32,data/arun/equity/iifl/contract-notes/20150619 NN2015115_12_19_2025.pdf,1
,NSE,CASH,SAIL,BUY,50,55.0,0.5,55.5,-2775.0,,2015081455579892,14:02:49,52473617,14:38:32,data/arun/equity/iifl/contract-notes/20150814_NN2015155.pdf,1
,NSE,CASH,TATASTEEL,BUY,9,249.0,1.5625,250.5625,-2255.06,,2015081828343879,13:38:02,26262205,13:38:02,data/arun/equity/iifl/contract-notes/20150818_NN2015157.pdf,1
,NSE,CASH,TATASTEEL,BUY,5,249.0,1.5625,250.5625,-1252.81,,2015081828343879,13:38:02,26262170,13:38:02,data/arun/equity/iifl/contract-notes/20150818_NN2015157.pdf,1
,NSE,CASH,TATASTEEL,BUY,1,249.0,1.5625,250.5625,-250.56,,2015081828343879,13:38:02,26262171,13:38:02,data/arun/equity/iifl/contract-notes/20150818_NN2015157.pdf,1
,NSE,CASH,TATASTEEL,BUY,1,249.0,1.5625,250.5625,-250.56,,2015081828343879,13:38:02,26262172,13:38:02,data/arun/equity/iifl/contract-notes/20150818_NN2015157.pdf,1
,NSE,CASH,SIEMENS - INE003A01024 NSE -,BUY,50,1085.0,5.425,1090.425,-54521.25,,1300000015618680,15:12:06,80249760,15:13:47,data/arun/equity/iifl/contract-notes/20200326_NN2020061.pdf,1
,NSE,CASH,INDHOTEL - INE053A01029 NSE -,BUY,50,137.55,0.68775,138.23775,-6911.89,,1100000004809351,10:11:23,26462970,10:11:23,data/arun/equity/iifl/contract-notes/20210609_NN2021107.pdf,1
2024-12-16,BSE,CASH,COFFEEDAY,BUY,500,25.15,0.1886,25.338625,12669.31,Dr,1734319800000210435,11:01:51,4561400,11:01:51,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241216.pdf,1
2024-12-18,BSE,CASH,LTF,BUY,1,142.0,0.071,142.071,142.07,Dr,1734492600118954501,10:49:55,1206700,10:53:50,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241218.pdf,1
2024-12-18,BSE,CASH,MAHABANK,BUY,2,54.0,0.05,54.05,108.1,Dr,1734497563150301807,10:49:22,6374500,12:35:08,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241218.pdf,1
2024-12-18,BSE,CASH,MAHABANK,BUY,100,54.0,0.27,54.27,5427.0,Dr,1734497563150931132,11:16:53,6377700,12:35:08,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241218.pdf,1
2024-12-18,BSE,CASH,TATASTEEL,BUY,4,145.0,0.0725,145.0725,580.29,Dr,1734498297578390919,10:48:53,8831000,11:48:48,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241218.pdf,1
2024-12-20,NSE,CASH,INDHOTEL,BUY,5,855.0,5.0,860.0,4300.0,Dr,1100000062805640,14:53:18,208235921,15:00:40,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241220.pdf,1
2024-12-20,BSE,CASH,LTF,BUY,6,137.0,3.425,140.425,842.55,Dr,1734682861664647904,14:52:06,4612100,15:02:28,data/arun/equity/iifl/contract-notes/AJJPA3362M_20241220.pdf,1
