isin,company,year,month,month_start,avg_close
INE009A01021,Infosys Ltd,2015,6,2015-06-01,499.48
INE009A01021,Infosys Ltd,2015,7,2015-07-01,509.36
INE009A01021,Infosys Ltd,2015,8,2015-08-01,556.28
INE009A01021,Infosys Ltd,2015,9,2015-09-01,549.9
INE009A01021,Infosys Ltd,2015,10,2015-10-01,626.65
INE009A01021,Infosys Ltd,2015,11,2015-11-01,573.19
INE009A01021,Infosys Ltd,2015,12,2015-12-01,538.16
INE009A01021,Infosys Ltd,2016,1,2016-01-01,582.0
INE009A01021,Infosys Ltd,2016,2,2016-02-01,561.96
INE009A01021,Infosys Ltd,2016,3,2016-03-01,586.28
INE009A01021,Infosys Ltd,2016,4,2016-04-01,605.03
INE009A01021,Infosys Ltd,2016,5,2016-05-01,604.58
INE009A01021,Infosys Ltd,2016,6,2016-06-01,602.73
INE009A01021,Infosys Ltd,2016,7,2016-07-01,561.3
INE009A01021,Infosys Ltd,2016,8,2016-08-01,526.73
INE009A01021,Infosys Ltd,2016,9,2016-09-01,522.31
INE009A01021,Infosys Ltd,2016,10,2016-10-01,513.63
INE009A01021,Infosys Ltd,2016,11,2016-11-01,475.8
INE009A01021,Infosys Ltd,2016,12,2016-12-01,517.28
INE009A01021,Infosys Ltd,2017,1,2017-01-01,482.63
INE009A01021,Infosys Ltd,2017,2,2017-02-01,487.65
INE009A01021,Infosys Ltd,2017,3,2017-03-01,513.36
INE009A01021,Infosys Ltd,2017,4,2017-04-01,473.3
INE009A01021,Infosys Ltd,2017,5,2017-05-01,478.64
INE009A01021,Infosys Ltd,2017,6,2017-06-01,474.66
INE009A01021,Infosys Ltd,2017,7,2017-07-01,509.89
INE009A01021,Infosys Ltd,2017,8,2017-08-01,476.23
INE009A01021,Infosys Ltd,2017,9,2017-09-01,449.61
INE009A01021,Infosys Ltd,2017,10,2017-10-01,463.89
INE009A01021,Infosys Ltd,2017,11,2017-11-01,481.32
INE009A01021,Infosys Ltd,2017,12,2017-12-01,505.48
INE009A01021,Infosys Ltd,2018,1,2018-01-01,550.92
INE009A01021,Infosys Ltd,2018,2,2018-02-01,566.4
INE009A01021,Infosys Ltd,2018,3,2018-03-01,581.2
INE009A01021,Infosys Ltd,2018,4,2018-04-01,574.26
INE009A01021,Infosys Ltd,2018,5,2018-05-01,596.43
INE009A01021,Infosys Ltd,2018,6,2018-06-01,628.84
INE009A01021,Infosys Ltd,2018,7,2018-07-01,667.32
INE009A01021,Infosys Ltd,2018,8,2018-08-01,696.6
INE009A01021,Infosys Ltd,2018,9,2018-09-01,726.28
INE009A01021,Infosys Ltd,2018,10,2018-10-01,687.39
INE009A01021,Infosys Ltd,2018,11,2018-11-01,653.75
INE009A01021,Infosys Ltd,2018,12,2018-12-01,671.46
INE009A01021,Infosys Ltd,2019,1,2019-01-01,708.29
INE009A01021,Infosys Ltd,2019,2,2019-02-01,747.38
INE009A01021,Infosys Ltd,2019,3,2019-03-01,725.51
INE009A01021,Infosys Ltd,2019,4,2019-04-01,743.07
INE009A01021,Infosys Ltd,2019,5,2019-05-01,720.38
INE009A01021,Infosys Ltd,2019,6,2019-06-01,744.37
INE009A01021,Infosys Ltd,2019,7,2019-07-01,761.28
INE009A01021,Infosys Ltd,2019,8,2019-08-01,787.18
INE009A01021,Infosys Ltd,2019,9,2019-09-01,812.66
INE009A01021,Infosys Ltd,2019,10,2019-10-01,730.98
INE009A01021,Infosys Ltd,2019,11,2019-11-01,702.93
INE009A01021,Infosys Ltd,2019,12,2019-12-01,720.67
INE009A01021,Infosys Ltd,2020,1,2020-01-01,760.46
