Source File,Contract Ref,Exchange Contract No,Order Date,Order Time,Trade No,Trade Date,Trade Time,Settlement Date,Security,Action,Quantity,Total Amount (₹),Brokerage (₹),GST (₹),Net Amount (₹),Price/Share (₹),ISIN
TRX-Equity_03-07-2022_560553.PDF,ISEC/2022098/36125,1100000003912187,,09:48:00,25926078,26-05-2022,09:48,26-05-2022,ICICI BANK LTD.,Buy,2,1450.63,1.95,10.78,1437.9,718.95,INE090A01021
TRX-Equity_24-04-2023_1297045.PDF,ISEC/2022098/36125,1100000003912187,,09:48:00,25926078,26-05-2022,09:48,26-05-2022,ICICI BANK LTD.,Buy,2,1450.63,1.95,10.78,1437.9,718.95,INE090A01021
TRX-Equity_03-07-2022_560553.PDF,ISEC/2022098/36125,1100000003947744,30-05-2022,09:48:00,25934655,26-05-2022,09:48,26-05-2022,ICICI BANK LTD.,Sell,2,1436.49,0.01,0.0,1436.5,718.25,INE090A01021
TRX-Equity_24-04-2023_1297045.PDF,ISEC/2022098/36125,1100000003947744,30-05-2022,09:48:00,25934655,26-05-2022,09:48,26-05-2022,ICICI BANK LTD.,Sell,2,1436.49,0.01,0.0,1436.5,718.25,INE090A01021
TRX-Equity_24-04-2023_1297045.PDF,ISEC/2022177/01162,1100000008020979,30-05-2022,10:25:00,26602442,19-09-2022,10:25,19-09-2022,IDFC FIRST BANK LIMITED,Buy,100,5174.52,4.52,25.0,5145.0,51.45,INE092T01019
TRX-Equity_28-10-2022_285301.PDF,ISEC/2022177/01162,1100000008020979,,10:25:00,26602442,19-09-2022,10:25,19-09-2022,IDFC FIRST BANK LIMITED,Buy,100,5174.52,4.52,25.0,5145.0,51.45,INE092T01019
TRX-Equity_07-04-2023_477880.PDF,ISEC/2023040/02390,1000000002056672,28-02-2023,09:28:00,,27-02-2023,09:28,27-02-2023,AXIS BANK LIMITED,Buy,50,42610.58,17.08,93.5,42500.0,850.0,INE238A01034
TRX-Equity_24-04-2023_1297045.PDF,ISEC/2023040/02390,1000000002056672,28-02-2023,09:28:00,,27-02-2023,09:28,27-02-2023,AXIS BANK LIMITED,Buy,50,42610.58,17.08,93.5,42500.0,850.0,INE238A01034
TRX-Equity_07-04-2023_477880.PDF,ISEC/2023040/02390,1100000001846894,,09:25:00,25611995,27-02-2023,09:25,27-02-2023,IDFC FIRST BANK LIMITED,Buy,1000,54140.41,21.61,118.8,54000.0,54.0,INE092T01019
TRX-Equity_24-04-2023_1297045.PDF,ISEC/2023040/02390,1100000001846894,21-09-2022,09:25:00,25611995,27-02-2023,09:25,27-02-2023,IDFC FIRST BANK LIMITED,Buy,1000,54140.41,21.61,118.8,54000.0,54.0,INE092T01019
TRX-Equity_07-04-2023_477880.PDF,ISEC/2023047/02459,1000000014287281,28-02-2023,12:48:00,2824022,09-03-2023,12:48,09-03-2023,AXIS BANK LIMITED,Buy,5,4364.78,2.28,12.5,4350.0,870.0,INE238A01034
TRX-Equity_07-04-2023_477880.PDF,ISEC/2023047/02459,1000000014287281,10-03-2023,12:48:00,2824074,09-03-2023,12:48,09-03-2023,AXIS BANK LIMITED,Buy,5,4364.78,2.28,12.5,4350.0,870.0,INE238A01034
